區域,r平均數,r便利商店,r人口密度,平均數,便利商店,人口密度
五峰鄉,431,1,20,C,C,C
苑裡鎮,523,31,648,C,C,C
通霄鎮,508,13,301,C,C,C
公館鄉,576,21,446,C,C,C
銅鑼鄉,528,14,215,C,C,C
三義鄉,524,15,222,C,C,C
西湖鄉,543,1,160,C,C,C
頭屋鄉,559,6,191,C,C,C
造橋鄉,519,10,249,C,C,C
後龍鎮,556,27,458,C,C,C
三灣鄉,516,4,119,C,C,C
南庄鄉,526,6,56,C,C,C
大湖鄉,518,11,149,C,C,C
卓蘭鎮,519,9,208,C,C,C
獅潭鄉,532,3,52,C,C,C
泰安鄉,518,3,9,C,C,C
東勢區,530,27,412,C,C,C
大甲區,590,54,1290,C,B,C
清水區,576,46,1377,C,B,C
梧棲區,598,55,3584,C,B,C
神岡區,531,48,1850,C,B,C
后里區,554,42,915,C,B,C
潭子區,588,79,4227,C,B,C
新社區,526,9,343,C,C,C
石岡區,524,8,792,C,C,C
外埔區,541,7,744,C,C,C
大安區,511,5,675,C,C,C
大肚區,547,36,1526,C,C,C
龍井區,591,57,2050,C,B,C
霧峰區,548,55,659,C,B,C
太平區,570,148,1620,C,A,C
大里區,595,158,7351,C,A,A
和平區,512,5,10,C,C,C
鹿港鎮,572,54,2175,C,B,C
和美鎮,565,56,2243,C,B,C
北斗鎮,585,18,1730,C,C,C
溪湖鎮,564,31,1695,C,C,C
田中鎮,555,24,1159,C,C,C
二林鎮,563,27,529,C,C,C
線西鄉,505,6,912,C,C,C
伸港鄉,498,10,1695,C,C,C
福興鄉,521,27,921,C,C,C
秀水鄉,561,14,1317,C,C,C
花壇鄉,559,22,1232,C,C,C
芬園鄉,492,6,600,C,C,C
大村鄉,532,15,1294,C,C,C
埔鹽鄉,515,8,821,C,C,C
埔心鄉,523,18,1624,C,C,C
永靖鄉,525,16,1738,C,C,C
社頭鄉,529,22,1163,C,C,C
二水鄉,521,7,488,C,C,C
田尾鄉,538,8,1099,C,C,C
埤頭鄉,550,14,695,C,C,C
芳苑鄉,492,10,351,C,C,C
大城鄉,517,3,247,C,C,C
竹塘鄉,543,4,346,C,C,C
溪州鄉,535,9,382,C,C,C
斗南鎮,598,28,905,C,C,C
西螺鎮,588,34,904,C,C,C
土庫鎮,594,11,570,C,C,C
古坑鄉,531,13,183,C,C,C
大埤鄉,532,6,410,C,C,C
莿桐鄉,533,16,550,C,C,C
林內鄉,483,8,456,C,C,C
二崙鄉,563,6,431,C,C,C
東勢鄉,586,4,286,C,C,C
褒忠鄉,576,5,331,C,C,C
臺西鄉,566,10,417,C,C,C
元長鄉,568,5,338,C,C,C
四湖鄉,543,6,284,C,C,C
口湖鄉,533,7,323,C,C,C
水林鄉,532,2,325,C,C,C
埔里鎮,538,66,481,C,B,C
草屯鎮,599,67,932,C,B,C
竹山鎮,546,34,213,C,C,C
集集鎮,570,6,206,C,C,C
名間鄉,502,17,444,C,C,C
鹿谷鄉,576,12,119,C,C,C
中寮鄉,479,2,96,C,C,C
魚池鄉,487,15,125,C,C,C
國姓鄉,452,5,100,C,C,C
水里鄉,526,9,156,C,C,C
信義鄉,514,2,11,C,C,C
仁愛鄉,499,13,12,C,C,C
鹽水區,541,11,474,C,C,C
白河區,533,16,211,C,C,C
柳營區,561,10,336,C,C,C
後壁區,558,7,309,C,C,C
東山區,521,10,158,C,C,C
下營區,562,5,688,C,C,C
六甲區,558,9,318,C,C,C
官田區,546,11,297,C,C,C
大內區,473,3,129,C,C,C
西港區,534,9,725,C,C,C
七股區,495,4,198,C,C,C
將軍區,487,6,449,C,C,C
北門區,501,1,236,C,C,C
學甲區,530,9,463,C,C,C
新化區,584,20,690,C,C,C
安定區,582,23,963,C,C,C
山上區,475,4,251,C,C,C
玉井區,551,5,175,C,C,C
楠西區,486,4,82,C,C,C
南化區,507,2,48,C,C,C
左鎮區,467,0,59,C,C,C
關廟區,529,19,631,C,C,C
龍崎區,514,2,57,C,C,C
旗津區,488,10,18583,C,C,A
大社區,564,23,1281,C,C,C
大樹區,515,16,616,C,C,C
大寮區,527,84,1576,C,A,C
林園區,540,40,2134,C,C,C
茄萣區,478,13,1891,C,C,C
永安區,500,3,602,C,C,C
梓官區,511,17,3028,C,C,C
田寮區,477,2,73,C,C,C
阿蓮區,542,10,809,C,C,C
路竹區,591,33,1057,C,C,C
燕巢區,532,14,447,C,C,C
彌陀區,483,7,1261,C,C,C
湖內區,525,14,1471,C,C,C
旗山區,535,21,372,C,C,C
六龜區,487,4,63,C,C,C
內門區,450,6,144,C,C,C
美濃區,554,10,316,C,C,C
杉林區,460,3,109,C,C,C
甲仙區,447,4,47,C,C,C
桃源區,504,1,5,C,C,C
那瑪夏區,549,1,12,C,C,C
潮州鎮,583,39,1262,C,C,C
東港鎮,559,31,1570,C,C,C
恆春鎮,534,37,220,C,C,C
萬丹鄉,563,20,865,C,C,C
長治鄉,580,14,736,C,C,C
麟洛鄉,589,4,654,C,C,C
九如鄉,533,13,517,C,C,C
里港鄉,550,10,373,C,C,C
鹽埔鄉,509,9,382,C,C,C
高樹鄉,485,6,260,C,C,C
萬巒鄉,539,8,328,C,C,C
內埔鄉,533,39,642,C,C,C
竹田鄉,528,3,561,C,C,C
新埤鄉,489,5,160,C,C,C
枋寮鄉,509,17,403,C,C,C
新園鄉,521,11,873,C,C,C
崁頂鄉,518,5,488,C,C,C
林邊鄉,543,8,1090,C,C,C
南州鄉,542,6,534,C,C,C
佳冬鄉,487,7,591,C,C,C
琉球鄉,529,3,1780,C,C,C
車城鄉,448,8,164,C,C,C
滿州鄉,456,2,52,C,C,C
枋山鄉,472,9,298,C,C,C
三地門鄉,463,1,39,C,C,C
霧臺鄉,476,1,12,C,C,C
瑪家鄉,507,1,85,C,C,C
泰武鄉,497,1,45,C,C,C
來義鄉,494,0,44,C,C,C
春日鄉,519,1,31,C,C,C
獅子鄉,509,1,16,C,C,C
牡丹鄉,514,1,27,C,C,C
布袋鎮,540,15,413,C,C,C
大林鎮,600,24,469,C,C,C
民雄鄉,597,52,827,C,B,C
溪口鄉,526,2,416,C,C,C
新港鄉,597,13,465,C,C,C
六腳鄉,545,5,350,C,C,C
東石鄉,493,6,288,C,C,C
義竹鄉,554,3,217,C,C,C
鹿草鄉,542,3,270,C,C,C
水上鄉,547,27,702,C,C,C
中埔鄉,537,22,337,C,C,C
竹崎鄉,522,11,211,C,C,C
梅山鄉,538,11,153,C,C,C
番路鄉,524,6,94,C,C,C
大埔鄉,502,1,26,C,C,C
阿里山鄉,508,1,13,C,C,C
白沙鄉,592,3,497,C,C,C
光復鄉,475,4,78,C,C,C
玉里鎮,541,13,91,C,C,C
新城鄉,560,18,689,C,C,C
吉安鄉,590,49,1274,C,B,C
壽豐鄉,512,13,79,C,C,C
鳳林鎮,512,6,89,C,C,C
豐濱鄉,393,1,27,C,C,C
瑞穗鄉,489,9,82,C,C,C
富里鄉,459,3,56,C,C,C
秀林鄉,441,10,10,C,C,C
萬榮鄉,406,0,10,C,C,C
卓溪鄉,436,1,6,C,C,C
成功鎮,501,6,93,C,C,C
關山鎮,499,5,141,C,C,C
卑南鄉,499,8,41,C,C,C
大武鄉,484,3,81,C,C,C
太麻里鄉,481,8,112,C,C,C
東河鄉,502,3,39,C,C,C
長濱鄉,433,1,44,C,C,C
鹿野鄉,506,3,83,C,C,C
池上鄉,515,5,96,C,C,C
延平鄉,477,0,8,C,C,C
海端鄉,480,1,5,C,C,C
達仁鄉,507,2,11,C,C,C
金峰鄉,501,0,10,C,C,C
蘭嶼鄉,530,2,108,C,C,C
