,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,便利商店,年底人口數,土地面積,人口密度
潮州鎮,12379,7212430,583,416,196,752,684.59,,39,53546,42.4331,1262
東港鎮,9091,5083379,559,397,189,708,643.43,115.07,31,46268,29.4635,1570
恆春鎮,5065,2704167,534,355,164,651,1379.25,258.34,37,30089,136.763,220
萬丹鄉,10220,5758920,563,404,203,709,712.20,126.39,20,49696,57.4679,865
長治鄉,6704,3886597,580,416,193,747,612.90,105.72,14,29337,39.8861,736
麟洛鄉,2661,1566784,589,425,204,759,617.80,104.93,4,10629,16.26,654
九如鄉,4137,2206134,533,392,195,691,557.19,104.49,13,21734,42.0187,517
里港鄉,4838,2659774,550,397,192,699,646.34,117.57,10,25696,68.9208,373
鹽埔鄉,4291,2184410,509,380,186,645,564.52,110.89,9,24586,64.3493,382
高樹鄉,3281,1591545,485,359,170,608,555.01,114.42,6,23439,90.1522,260
萬巒鄉,3519,1897433,539,396,194,669,662.23,122.82,8,19915,60.7315,328
內埔鄉,11100,5920349,533,393,197,682,553.55,103.78,39,52544,81.8554,642
竹田鄉,3389,1787744,528,387,188,690,561.67,106.47,3,16318,29.0732,561
新埤鄉,1465,716464,489,373,170,647,486.16,99.41,5,9451,59.0102,160
枋寮鄉,3952,2012941,509,388,195,657,509.70,100.07,17,23246,57.7347,403
新園鄉,6513,3394264,521,379,193,667,540.86,103.78,11,33447,38.3109,873
崁頂鄉,2654,1374983,518,386,187,662,558.13,107.73,5,15272,31.2659,488
林邊鄉,3085,1675552,543,400,191,711,696.71,128.28,8,17023,15.6233,1090
南州鄉,2087,1131767,542,405,211,694,597.15,110.12,6,10133,18.97,534
佳冬鄉,3067,1494062,487,364,181,629,521.50,107.05,7,18321,30.9842,591
琉球鄉,1757,929232,529,391,173,675,545.63,103.17,3,12104,6.8018,1780
車城鄉,1242,556121,448,321,163,576,468.57,104.65,8,8181,49.8517,164
滿州鄉,1079,491672,456,337,168,581,479.23,105.17,2,7353,142.2013,52
枋山鄉,642,303241,472,365,177,613,463.51,98.13,9,5150,17.2697,298
三地門鄉,1071,496167,463,393,206,597,412.63,89.07,1,7711,196.3965,39
霧臺鄉,539,256496,476,427,209,643,368.89,77.52,1,3259,278.796,12
瑪家鄉,1121,567848,507,427,222,682,436.43,86.16,1,6706,78.7008,85
泰武鄉,778,387005,497,431,205,669,426.08,85.66,1,5360,118.6266,45
來義鄉,1158,571979,494,401,180,662,484.64,98.12,0,7397,167.7756,44
春日鄉,625,324323,519,445,256,665,448.08,86.35,1,4930,160.001,31
獅子鄉,679,345475,509,422,223,696,409.24,80.43,1,4888,301.0018,16
牡丹鄉,813,418214,514,416,201,679,473.66,92.08,1,4849,181.8366,27
朴子市,9075,6047192,666,451,212,848,794.35,119.21,34,41256,49.5737,832
布袋鎮,4467,2411780,540,401,201,697,563.14,104.30,15,25521,61.7307,413
大林鎮,6307,3783582,600,402,199,752,690.84,115.16,24,30068,64.1663,469
民雄鄉,16650,9935567,597,409,197,763,664.33,111.33,52,70675,85.4969,827
溪口鄉,2465,1296555,526,359,178,656,624.32,118.69,2,13761,33.0463,416
新港鄉,6017,3591155,597,424,201,791,624.61,104.65,13,30705,66.0495,465
六腳鄉,3898,2122624,545,397,185,709,575.82,105.74,5,21774,62.2619,350
東石鄉,3205,1581393,493,356,173,639,518.15,105.01,6,23464,81.5821,288
義竹鄉,3211,1780169,554,386,193,719,594.10,107.16,3,17232,79.2925,217
鹿草鄉,2678,1450915,542,396,189,699,554.12,102.28,3,14658,54.3151,270
太保市,8786,5844259,665,465,217,904,754.32,113.40,24,38571,66.8964,577
水上鄉,10582,5784209,547,387,190,706,586.54,107.30,27,48529,69.1198,702
中埔鄉,8352,4482790,537,384,183,694,603.86,112.51,22,43602,129.5016,337
竹崎鄉,5838,3045947,522,369,180,645,597.58,114.54,11,34190,162.2256,211
梅山鄉,2932,1577690,538,393,195,688,572.42,106.38,11,18324,119.7571,153
番路鄉,1745,914773,524,372,162,668,609.45,116.26,6,11033,117.5269,94
大埔鄉,732,367806,502,349,178,613,519.00,103.29,1,4533,173.2472,26
阿里山鄉,648,329264,508,370,193,613,625.73,123.15,1,5420,427.8471,13
馬公市,17557,12588805,717,546,281,931,723.82,100.95,53,63289,33.9918,1862
湖西鄉,3833,2335691,609,492,259,774,537.06,88.14,5,15447,33.3008,464
白沙鄉,1975,1168496,592,472,222,749,563.82,95.30,3,9989,20.0875,497
西嶼鄉,1469,906523,617,472,222,807,655.54,106.23,4,8338,18.7148,446
望安鄉,1189,737959,621,491,222,836,597.75,96.31,1,5415,13.7824,393
七美鄉,797,541964,680,518,249,871,816.31,120.04,1,3862,6.9868,553
