,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,便利商店,年底人口數,土地面積,人口密度
虎尾鎮,16467,11320496,687,472,224,932,721.00,104.88,69,70648,68.742,1028
西螺鎮,8241,4845238,588,412,195,772,622.93,105.95,34,45029,49.7985,904
土庫鎮,5337,3170078,594,412,204,756,635.66,107.02,11,27938,49.0212,570
北港鎮,8440,5185521,614,428,196,803,689.04,112.15,26,38437,41.4999,926
古坑鄉,6160,3272215,531,366,179,686,619.30,116.58,13,30438,166.6059,183
大埤鄉,3524,1873012,532,360,182,664,628.62,118.27,6,18451,44.9973,410
莿桐鄉,5934,3161875,533,380,194,662,591.00,110.91,16,27970,50.8502,550
林內鄉,3714,1793791,483,355,188,613,491.94,101.85,8,17131,37.6035,456
二崙鄉,4052,2282515,563,400,188,729,663.18,117.73,6,25660,59.5625,431
崙背鄉,3970,2402342,605,423,204,784,659.74,109.02,12,23584,58.484,403
麥寮鄉,9706,6297013,649,475,218,888,743.39,114.58,26,48695,80.1668,607
東勢鄉,2355,1379333,586,437,211,802,549.83,93.87,4,13849,48.3562,286
褒忠鄉,2266,1304086,576,405,198,749,628.76,109.25,5,12279,37.0552,331
臺西鄉,3899,2208235,566,430,205,756,568.38,100.36,10,22558,54.0983,417
元長鄉,3964,2250609,568,400,184,728,740.14,130.36,5,24177,71.5872,338
四湖鄉,3585,1948304,543,400,196,730,529.28,97.39,6,21891,77.1189,284
口湖鄉,3982,2121902,533,386,181,688,576.74,108.23,7,25976,80.4612,323
水林鄉,3662,1948525,532,381,186,693,563.19,105.84,2,23737,72.9582,325
南投市,6716,16338611,612,406,199,763,725.14,118.57,74,98244,71.6021,1372
埔里鎮,15425,8293401,538,357,160,677,656.40,122.08,66,78107,162.2227,481
草屯鎮,24414,14613027,599,397,193,746,711.95,118.94,67,96923,104.0327,932
竹山鎮,10577,5779339,546,375,177,686,649.92,118.94,34,52629,247.3339,213
集集鎮,2139,1219055,570,403,184,720,650.92,114.21,6,10227,49.7268,206
名間鄉,7449,3735833,502,362,177,636,535.36,106.75,17,36925,83.0955,444
鹿谷鄉,3111,1791853,576,384,201,705,750.83,130.36,12,16850,141.8981,119
中寮鄉,2596,1243823,479,325,162,598,543.42,113.42,2,14013,146.6541,96
魚池鄉,2573,1253618,487,324,162,592,622.55,127.78,15,15162,121.3735,125
國姓鄉,2802,1265325,452,330,159,568,482.21,106.78,5,17557,175.7042,100
水里鄉,3105,1633318,526,363,173,653,654.98,124.51,9,16665,106.8424,156
信義鄉,2010,1033177,514,414,221,634,502.41,97.74,2,15785,1422.4188,11
仁愛鄉,1966,981773,499,385,201,621,518.35,103.80,13,15810,1273.5312,12
