r區域,r平均數,r便利商店,r人口密度,區域,平均數,便利商店,人口密度
田尾鄉,538,8,1099,W,B,B,B
埤頭鄉,550,14,695,W,B,B,B
芳苑鄉,492,10,351,W,C,B,B
大城鄉,517,3,247,W,C,B,B
竹塘鄉,543,4,346,W,B,B,B
溪州鄉,535,9,382,W,B,B,B
斗六市,670,109,1153,W,A,A,B
斗南鎮,598,28,905,W,B,B,B
虎尾鎮,687,69,1028,W,A,A,B
西螺鎮,588,34,904,W,B,A,B
土庫鎮,594,11,570,W,B,B,B
北港鎮,614,26,926,W,A,B,B
古坑鄉,531,13,183,W,B,B,B
大埤鄉,532,6,410,W,B,B,B
莿桐鄉,533,16,550,W,B,B,B
林內鄉,483,8,456,W,C,B,B
二崙鄉,563,6,431,W,B,B,B
崙背鄉,605,12,403,W,A,B,B
麥寮鄉,649,26,607,W,A,B,B
東勢鄉,586,4,286,W,B,B,B
褒忠鄉,576,5,331,W,B,B,B
臺西鄉,566,10,417,W,B,B,B
元長鄉,568,5,338,W,B,B,B
四湖鄉,543,6,284,W,B,B,B
口湖鄉,533,7,323,W,B,B,B
水林鄉,532,2,325,W,B,B,B
南投市,612,74,1372,W,A,A,B
埔里鎮,538,66,481,W,B,A,B
草屯鎮,599,67,932,W,B,A,B
竹山鎮,546,34,213,W,B,A,B
集集鎮,570,6,206,W,B,B,B
名間鄉,502,17,444,W,C,B,B
鹿谷鄉,576,12,119,W,B,B,B
中寮鄉,479,2,96,W,C,B,B
魚池鄉,487,15,125,W,C,B,B
國姓鄉,452,5,100,W,C,B,B
水里鄉,526,9,156,W,C,B,B
信義鄉,514,2,11,W,C,B,B
仁愛鄉,499,13,12,W,C,B,B
花蓮市,643,99,3433,W,A,A,A
光復鄉,475,4,78,W,C,B,B
玉里鎮,541,13,91,W,B,B,B
新城鄉,560,18,689,W,B,B,B
吉安鄉,590,49,1274,W,B,A,B
壽豐鄉,512,13,79,W,C,B,B
鳳林鎮,512,6,89,W,C,B,B
豐濱鄉,393,1,27,W,C,B,B
瑞穗鄉,489,9,82,W,C,B,B
富里鄉,459,3,56,W,C,B,B
秀林鄉,441,10,10,W,C,B,B
萬榮鄉,406,0,10,W,C,B,B
卓溪鄉,436,1,6,W,C,B,B
東　區,875,158,13603,S,A,A,A
南　區,603,106,4487,S,A,A,A
北　區,802,94,12259,S,A,A,A
安南區,608,103,1838,S,A,A,B
安平區,781,50,6095,S,A,A,A
中西區,847,107,12413,S,A,A,A
新營區,688,43,1959,S,A,A,B
鹽水區,541,11,474,S,B,B,B
白河區,533,16,211,S,B,B,B
柳營區,561,10,336,S,B,B,B
後壁區,558,7,309,S,B,B,B
東山區,521,10,158,S,C,B,B
麻豆區,622,34,804,S,A,A,B
下營區,562,5,688,S,B,B,B
六甲區,558,9,318,S,B,B,B
官田區,546,11,297,S,B,B,B
大內區,473,3,129,S,C,B,B
佳里區,608,38,1502,S,A,A,B
西港區,534,9,725,S,B,B,B
七股區,495,4,198,S,C,B,B
將軍區,487,6,449,S,C,B,B
北門區,501,1,236,S,C,B,B
學甲區,530,9,463,S,B,B,B
新化區,584,20,690,S,B,B,B
善化區,878,36,927,S,A,A,B
新市區,666,41,785,S,A,A,B
安定區,582,23,963,S,B,B,B
山上區,475,4,251,S,C,B,B
玉井區,551,5,175,S,B,B,B
楠西區,486,4,82,S,C,B,B
南化區,507,2,48,S,C,B,B
左鎮區,467,0,59,S,C,B,B
仁德區,627,71,1507,S,A,A,B
歸仁區,602,39,1219,S,A,A,B
關廟區,529,19,631,S,B,B,B
龍崎區,514,2,57,S,C,B,B
永康區,700,209,5826,S,A,A,A
鹽埕區,643,27,16180,S,A,B,A
鼓山區,873,127,9518,S,A,A,A
左營區,799,154,10129,S,A,A,A
楠梓區,658,133,7362,S,A,A,A
三民區,715,287,16831,S,A,A,A
新興區,850,90,24986,S,A,A,A
前金區,867,55,14223,S,A,A,A
苓雅區,761,173,20187,S,A,A,A
前鎮區,677,142,9561,S,A,A,A
旗津區,488,10,18583,S,C,B,A
小港區,609,82,3434,S,A,A,A
鳳山區,640,222,13377,S,A,A,A
鳥松區,923,30,1805,S,A,B,B
仁武區,652,62,2594,S,A,A,A
大社區,564,23,1281,S,B,B,B
大樹區,515,16,616,S,C,B,B
大寮區,527,84,1576,S,C,A,B
林園區,540,40,2134,S,B,A,A
岡山區,601,76,2001,S,A,A,A
茄萣區,478,13,1891,S,C,B,B
永安區,500,3,602,S,C,B,B
橋頭區,640,27,1546,S,A,B,B
梓官區,511,17,3028,S,C,B,A
田寮區,477,2,73,S,C,B,B
阿蓮區,542,10,809,S,B,B,B
路竹區,591,33,1057,S,B,A,B
燕巢區,532,14,447,S,B,B,B
彌陀區,483,7,1261,S,C,B,B
湖內區,525,14,1471,S,C,B,B
旗山區,535,21,372,S,B,B,B
六龜區,487,4,63,S,C,B,B
內門區,450,6,144,S,C,B,B
美濃區,554,10,316,S,B,B,B
